algorithm,configuration,seed,lstm_units,mae,rmse,r2,epochs,final_train_loss,final_val_loss
LSTM,ONLY_MECH,45,8,0.35349470035652975,0.5856837046174759,0.6139754404020995,50,0.3327135741710663,0.29263684153556824
LSTM,ONLY_MECH,46,8,0.33308906223346524,0.5793401769934207,0.6222922032502423,50,0.332248330116272,0.2826634347438812
LSTM,ONLY_MECH,47,8,0.3499079935449132,0.5833418117424485,0.6170563550734537,50,0.33454787731170654,0.298578143119812
LSTM,ONLY_MECH,48,8,0.42560042544820414,0.6117956407071995,0.5787873450823,50,0.3332725763320923,0.3252946436405182
LSTM,ONLY_MECH,49,8,0.3703083085612028,0.5903264280482929,0.607831138716986,50,0.331408828496933,0.2937726676464081
LSTM,ONLY_MECH,50,8,0.37888882040772875,0.5913541651693973,0.6064644462497122,50,0.3375769853591919,0.2984786629676819
LSTM,ONLY_MECH,51,8,0.4393492654177528,0.6241908843969799,0.5615465432592186,50,0.3322962820529938,0.3350341022014618
LSTM,FULL_HYBRID,42,16,0.43048626983346167,0.6162558461876609,0.5726233810387573,50,0.3230874240398407,0.3312970697879791
LSTM,FULL_HYBRID,43,16,0.41303821844361954,0.6052223550496425,0.5877899493583527,50,0.32729682326316833,0.3143739104270935
LSTM,FULL_HYBRID,44,16,0.3330941713996491,0.5769242180061684,0.6254358617688176,50,0.32657402753829956,0.2859286665916443
LSTM,FULL_HYBRID,45,16,0.41433400954521654,0.6044734540334861,0.5888094541007615,50,0.32019850611686707,0.3197186589241028
LSTM,FULL_HYBRID,46,16,0.35486587289157534,0.5823847310277765,0.6183119047623298,50,0.31782856583595276,0.2913838326931
LSTM,FULL_HYBRID,47,16,0.39827923935425785,0.5945933631758183,0.6021413826463093,50,0.3191853165626526,0.31237444281578064
LSTM,FULL_HYBRID,48,16,0.39314245076535886,0.5945781578234353,0.6021617310171394,50,0.32299578189849854,0.3123846650123596
LSTM,FULL_HYBRID,49,16,0.36774464473093443,0.5848053811168082,0.6151323795742577,50,0.3185751438140869,0.2944524586200714
LSTM,FULL_HYBRID,50,16,0.347637196899595,0.5824513352360318,0.6182245965424544,50,0.31853529810905457,0.30207952857017517
LSTM,FULL_HYBRID,51,16,0.36605938940305643,0.582716238474084,0.6178772489354987,50,0.32169321179389954,0.2959993779659271
LSTM,NO_TEMPORAL,42,16,0.37920106221778027,0.5931852257049894,0.6040235975245336,50,0.3259507715702057,0.3122125267982483
LSTM,NO_TEMPORAL,43,16,0.37671419891185404,0.5888073167323016,0.6098469103140225,50,0.32886749505996704,0.2978333830833435
LSTM,NO_TEMPORAL,44,16,0.3571103175319958,0.5855961512560485,0.6140908447451656,50,0.32496875524520874,0.29000410437583923
LSTM,NO_TEMPORAL,45,16,0.3932979614691125,0.5979103746970514,0.5976899953363395,50,0.32779449224472046,0.3165353238582611
LSTM,NO_TEMPORAL,46,16,0.3486389483652578,0.5811219894930568,0.6199652822358404,50,0.32351401448249817,0.29233330488204956
